,silhouette_score
2,0.4899966866087728
3,0.4451012496709599
4,0.16614944687160607
5,0.14256899802301612
6,0.1158147766571631
7,0.11630718505626758
8,0.09963472018007978
9,0.13178261903667493
10,0.10468727089255371
