,silhouette_score
2,0.5074788878689395
3,0.465070646579301
4,0.5116629120002107
5,0.5304780979636967
6,0.47756842830355745
7,0.47957767524567807
8,0.4881716735992028
9,0.5015645318714572
10,0.49650565364585103
