,silhouette_score
2,0.4899966867692488
3,0.4451012502426135
4,0.16614944660282727
5,0.14256899804278209
6,0.11581477709312593
7,0.11630718532277814
8,0.09963472021149748
9,0.13178261876265523
10,0.1046872705367401
