,silhouette_score
2,0.507478887954455
3,0.4650706466658848
4,0.5116629121595326
5,0.5304780981800546
6,0.47756842851312015
7,0.47957767525266437
8,0.4881716736060594
9,0.5015645319027529
10,0.4965056536744659
